1965-03-08, 12:35, 23809.52, 1965.182,  3,  0, 318.58
1965-03-15, 12:30, 23816.52, 1965.201,  3,  0, 318.55
1965-04-01, 13:00, 23833.54, 1965.248,  2,  0, 318.69
1965-04-15, 12:53, 23847.54, 1965.286,  3,  0, 318.62
1965-05-01, 12:40, 23863.53, 1965.330,  2,  0, 318.69
1965-05-15, 12:53, 23877.54, 1965.369,  2,  0, 318.99
1965-06-15, 12:30, 23908.52, 1965.453,  1,  4, 319.40
1965-06-22, 12:23, 23915.52, 1965.473,  3,  4, 318.89
1965-07-01, 12:33, 23924.52, 1965.497,  3,  4, 320.50
1965-07-15, 12:18, 23938.51, 1965.536,  1,  4, 319.79
1965-07-21, 12:18, 23944.51, 1965.552,  2,  0, 319.47
1965-08-01, 12:35, 23955.52, 1965.582,  2,  0, 319.50
1965-08-15, 12:33, 23969.52, 1965.621,  3,  0, 319.67
1965-09-01, 12:33, 23986.52, 1965.667,  3,  4, 320.34
1965-09-15, 12:18, 24000.51, 1965.706,  2,  4, 320.82
1965-09-22, 12:18, 24007.51, 1965.725,  3,  4, 322.66
1965-10-01, 12:28, 24016.52, 1965.749,  2,  5, 320.97
1965-10-15, 12:18, 24030.51, 1965.788,  2,  5, 322.67
1965-10-21, 12:36, 24036.53, 1965.804,  1,  4, 321.96
1965-11-01, 12:38, 24047.53, 1965.834,  2,  5, 322.44
1965-11-15, 14:55, 24061.62, 1965.873,  2,  0, 320.17
1965-12-02, 23:22, 24078.97, 1965.920,  2,  0, 320.29
1965-12-16, 04:24, 24092.18, 1965.957,  2,  0, 320.26
1966-01-01, 04:51, 24108.20, 1966.001,  2,  0, 320.45
1966-01-19, 03:18, 24126.14, 1966.050,  3,  0, 320.29
1966-02-04, 03:00, 24142.12, 1966.093,  3,  4, 336.33
1966-02-05, 01:19, 24143.05, 1966.096,  2,  0, 320.14
1966-02-09, 05:30, 24147.23, 1966.107,  3,  0, 320.26
1966-02-16, 08:07, 24154.34, 1966.127,  5,  0, 319.80
1966-03-23, 05:33, 24189.23, 1966.223,  3,  0, 320.07
1966-04-10, 22:49, 24207.95, 1966.274,  3,  0, 320.28
1966-05-03, 08:05, 24230.34, 1966.335,  3,  0, 320.37
1966-05-17, 06:31, 24244.27, 1966.373,  2,  5, 321.05
1966-06-07, 03:35, 24265.15, 1966.431,  2,  0, 320.39
1966-06-20, 01:32, 24278.06, 1966.466,  3,  4, 348.93
1966-07-01, 05:11, 24289.22, 1966.496,  3,  4, 343.18
1966-07-15, 12:00, 24303.50, 1966.536,  3,  4, 321.44
1966-08-02, 22:31, 24321.94, 1966.586,  3,  0, 320.82
1966-08-15, 05:05, 24334.21, 1966.620,  3,  0, 321.18
1966-09-01, 06:02, 24351.25, 1966.666,  2,  0, 321.20
1966-09-15, 12:58, 24365.54, 1966.706,  3,  0, 321.40
1966-10-01, 10:47, 24381.45, 1966.749,  3,  0, 321.52
1966-10-15, 22:40, 24395.94, 1966.789,  3,  0, 321.40
1966-11-01, 11:48, 24412.49, 1966.834,  3,  0, 321.65
1966-11-15, 02:47, 24426.12, 1966.872,  3,  0, 321.51
1966-12-03, 09:02, 24444.38, 1966.922,  2,  0, 321.13
1966-12-16, 03:14, 24457.13, 1966.957,  2,  0, 321.06
1967-02-01, 22:22, 24504.93, 1967.087,  5,  0, 321.10
1967-03-01, 04:45, 24532.20, 1967.162,  2,  4, 322.36
1967-03-15, 05:30, 24546.23, 1967.201,  1,  4, 348.22
1967-04-01, 08:45, 24563.36, 1967.248,  3,  0, 320.89
1967-04-15, 03:45, 24577.16, 1967.285,  3,  0, 320.78
1967-05-01, 02:25, 24593.10, 1967.329,  3,  0, 320.95
1967-05-15, 15:36, 24607.65, 1967.369,  3,  0, 320.99
1967-06-01, 04:21, 24624.18, 1967.414,  3,  0, 320.94
1967-06-15, 13:40, 24638.57, 1967.454,  3,  0, 320.89
1967-07-01, 16:42, 24654.70, 1967.498,  2,  0, 321.03
1967-07-15, 02:44, 24668.11, 1967.535,  2,  0, 320.94
1967-08-01, 00:39, 24685.03, 1967.581,  3,  0, 321.54
1967-08-16, 03:28, 24700.14, 1967.622,  2,  0, 322.05
1967-09-02, 18:45, 24717.78, 1967.671,  3,  0, 321.96
1967-09-18, 19:19, 24733.80, 1967.715,  2,  0, 322.16
1967-10-01, 18:44, 24746.78, 1967.750,  2,  0, 321.80
1967-10-15, 15:36, 24760.65, 1967.788,  3,  0, 321.79
1967-11-01, 06:38, 24777.28, 1967.834,  2,  0, 321.76
1967-11-15, 06:53, 24791.29, 1967.872,  2,  0, 321.88
1967-11-27, 08:40, 24803.36, 1967.905,  2,  0, 321.81
1967-12-01, 14:56, 24807.62, 1967.917,  2,  0, 321.84
1967-12-15, 15:08, 24821.63, 1967.955,  2,  4, 322.41
1968-01-01, 16:52, 24838.70, 1968.002,  3,  4, 322.04
1968-01-10, 14:54, 24847.62, 1968.026,  2,  0, 321.56
1968-02-01, 15:07, 24869.63, 1968.086,  2,  5, 323.16
1968-02-15, 15:05, 24883.63, 1968.125,  3,  5, 322.09
1968-03-01, 05:55, 24898.25, 1968.165,  3,  5, 322.16
1968-03-15, 11:57, 24912.50, 1968.204,  3,  4, 322.14
1968-04-01, 05:53, 24929.24, 1968.249,  2,  0, 321.56
1968-04-15, 11:55, 24943.50, 1968.288,  3,  4, 325.43
1968-05-01, 11:57, 24959.50, 1968.332,  3,  4, 324.99
1968-05-15, 11:52, 24973.49, 1968.370,  3,  0, 321.46
1968-06-01, 05:53, 24990.25, 1968.416,  2,  4, 392.89
1968-06-15, 11:54, 25004.50, 1968.455,  3,  0, 321.44
1968-07-01, 12:00, 25020.50, 1968.499,  3,  4, 324.74
1968-07-15, 12:00, 25034.50, 1968.537,  2,  5, 321.51
1968-08-01, 05:54, 25051.25, 1968.583,  3,  4, 343.48
1968-08-15, 05:53, 25065.25, 1968.621,  3,  4, 356.73
1968-09-01, 05:54, 25082.25, 1968.667,  2,  5, 321.48
1968-09-15, 05:52, 25096.24, 1968.706,  3,  4, 325.07
1968-10-01, 05:53, 25112.25, 1968.749,  2,  4, 323.62
1968-10-15, 11:53, 25126.50, 1968.788,  3,  4, 323.87
1968-11-20, 00:02, 25162.00, 1968.885,  3,  4, 342.38
1968-12-04, 12:25, 25176.52, 1968.925,  3,  4, 324.52
1968-12-12, 18:59, 25184.79, 1968.948,  3,  0, 322.49
1968-12-18, 00:31, 25190.02, 1968.962,  3,  0, 322.97
1968-12-25, 21:41, 25197.90, 1968.983,  3,  0, 322.45
1968-12-31, 09:10, 25203.38, 1968.998,  3,  4, 323.64
1969-01-08, 00:25, 25211.02, 1969.019,  3,  4, 322.39
1969-01-13, 11:01, 25216.46, 1969.034,  2,  4, 331.14
1969-01-20, 11:03, 25223.46, 1969.053,  2,  0, 322.43
1969-01-30, 08:02, 25233.33, 1969.080,  2,  0, 322.19
1969-02-10, 10:26, 25244.43, 1969.111,  2,  4, 323.77
1969-02-24, 12:33, 25258.52, 1969.149,  1,  4, 322.52
1969-03-10, 00:32, 25272.02, 1969.186,  3,  0, 322.26
1969-03-24, 01:02, 25286.04, 1969.225,  3,  4, 325.47
1969-04-07, 00:46, 25300.03, 1969.263,  2,  0, 322.24
1969-04-21, 08:00, 25314.33, 1969.302,  3,  4, 325.87
1969-05-05, 01:01, 25328.04, 1969.340,  3,  4, 323.51
1969-05-19, 01:45, 25342.07, 1969.378,  3,  0, 322.61
1969-06-02, 00:37, 25356.03, 1969.417,  2,  4, 356.48
1969-06-16, 11:51, 25370.49, 1969.456,  2,  0, 322.73
1969-06-30, 10:37, 25384.44, 1969.494,  3,  0, 323.00
1969-07-14, 00:12, 25398.01, 1969.532,  2,  0, 323.31
1969-07-28, 19:01, 25412.79, 1969.572,  3,  0, 323.36
1969-08-11, 11:01, 25426.46, 1969.609,  3,  0, 323.55
1969-08-25, 16:23, 25440.68, 1969.648,  2,  4, 324.12
1969-09-08, 07:01, 25454.29, 1969.686,  3,  0, 323.98
1969-09-23, 12:01, 25469.50, 1969.727,  2,  0, 324.33
1969-10-06, 23:18, 25482.97, 1969.764,  2,  0, 323.93
1969-11-04, 11:18, 25511.47, 1969.842,  2,  0, 323.95
1969-11-15, 10:21, 25522.43, 1969.872,  2,  0, 324.00
1969-12-01, 10:58, 25538.46, 1969.916,  3,  5, 324.97
1969-12-15, 13:45, 25552.57, 1969.955,  3,  5, 324.89
1970-01-02, 07:37, 25570.32, 1970.004,  3,  0, 323.76
1970-01-15, 16:27, 25583.69, 1970.040,  3,  0, 323.68
1970-02-01, 20:21, 25600.85, 1970.087,  3,  0, 323.56
1970-02-15, 16:48, 25614.70, 1970.125,  3,  0, 323.57
1970-03-03, 18:28, 25630.77, 1970.169,  3,  0, 323.51
1970-03-17, 14:12, 25644.59, 1970.207,  3,  0, 323.46
1970-03-28, 16:55, 25655.70, 1970.238,  3,  0, 323.36
1970-04-16, 13:33, 25674.56, 1970.289,  3,  0, 323.68
1970-05-02, 16:18, 25690.68, 1970.333,  3,  0, 323.75
1970-05-16, 13:33, 25704.56, 1970.371,  2,  0, 323.70
1970-06-02, 15:13, 25721.63, 1970.418,  3,  0, 324.07
1970-06-17, 16:03, 25736.67, 1970.459,  3,  0, 324.20
1970-07-02, 15:51, 25751.66, 1970.500,  3,  0, 324.37
1970-07-15, 14:26, 25764.60, 1970.536,  3,  0, 324.40
1970-08-04, 15:01, 25784.63, 1970.591,  2,  0, 324.41
1970-08-17, 16:40, 25797.69, 1970.627,  3,  0, 324.85
1970-09-03, 14:07, 25814.59, 1970.673,  3,  0, 325.11
1970-09-16, 16:49, 25827.70, 1970.709,  3,  5, 325.68
1970-10-01, 21:00, 25842.88, 1970.750,  3,  0, 325.21
1970-10-18, 21:15, 25859.89, 1970.797,  2,  0, 325.15
1970-11-04, 16:17, 25876.68, 1970.843,  3,  4, 325.17
1970-11-15, 14:27, 25887.60, 1970.873,  2,  0, 325.23
1970-12-01, 09:27, 25903.39, 1970.916,  3,  4, 326.98
1970-12-15, 14:12, 25917.59, 1970.955,  3,  4, 327.31
1971-01-01, 08:42, 25934.36, 1971.001,  3,  0, 325.00
1971-01-15, 15:17, 25948.64, 1971.040,  3,  0, 324.69
1971-02-01, 14:37, 25965.61, 1971.087,  3,  4, 325.79
1971-02-15, 14:27, 25979.60, 1971.125,  3,  0, 324.60
1971-03-01, 14:46, 25993.62, 1971.163,  3,  0, 324.35
1971-03-15, 14:12, 26007.59, 1971.202,  3,  4, 327.91
1971-04-01, 14:33, 26024.61, 1971.248,  3,  0, 324.41
1971-04-15, 12:47, 26038.53, 1971.286,  2,  0, 324.49
1971-05-01, 14:27, 26054.60, 1971.330,  3,  4, 335.10
1971-05-15, 14:42, 26068.61, 1971.369,  2,  0, 324.67
1971-06-01, 14:06, 26085.59, 1971.415,  2,  0, 324.78
1971-06-15, 13:52, 26099.58, 1971.454,  3,  0, 324.94
1971-07-01, 14:12, 26115.59, 1971.498,  2,  4, 334.57
1971-07-15, 14:35, 26129.61, 1971.536,  2,  0, 325.15
1971-08-01, 13:06, 26146.55, 1971.582,  3,  4, 326.17
1971-08-15, 13:32, 26160.56, 1971.621,  3,  4, 379.86
1971-09-01, 14:07, 26177.59, 1971.667,  3,  0, 325.66
1971-09-15, 14:17, 26191.60, 1971.706,  2,  0, 325.81
1971-10-01, 15:12, 26207.63, 1971.750,  3,  4, 330.13
1971-10-15, 14:47, 26221.62, 1971.788,  2,  4, 343.74
1971-11-01, 14:30, 26238.60, 1971.835,  2,  0, 325.78
1971-11-07, 14:44, 26244.61, 1971.851,  2,  5, 330.88
1971-11-15, 15:15, 26252.64, 1971.873,  3,  4, 331.88
1971-12-01, 12:18, 26268.51, 1971.916,  3,  4, 336.86
1971-12-18, 12:27, 26285.52, 1971.963,  3,  4, 344.43
1972-01-01, 14:53, 26299.62, 1972.002,  2,  4, 327.19
1972-01-15, 18:23, 26313.77, 1972.040,  2,  4, 327.17
1972-02-02, 15:16, 26331.64, 1972.089,  3,  4, 326.12
1972-02-15, 12:22, 26344.52, 1972.124,  3,  4, 327.39
1972-03-01, 12:22, 26359.51, 1972.165,  2,  4, 325.84
1972-03-15, 12:27, 26373.52, 1972.204,  3,  0, 325.05
1972-04-01, 17:31, 26390.73, 1972.251,  3,  0, 325.09
1972-04-15, 15:15, 26404.64, 1972.289,  2,  0, 325.18
1972-05-01, 15:23, 26420.64, 1972.332,  3,  0, 325.21
1972-05-15, 12:24, 26434.52, 1972.370,  3,  0, 325.32
1972-06-01, 12:23, 26451.52, 1972.417,  3,  0, 325.56
1972-06-15, 12:24, 26465.52, 1972.455,  3,  0, 325.97
1972-07-01, 12:26, 26481.52, 1972.499,  3,  0, 326.28
1972-07-15, 17:46, 26495.74, 1972.538,  3,  0, 325.80
1972-08-02, 15:29, 26513.64, 1972.586,  3,  5, 325.20
1972-08-15, 16:00, 26526.67, 1972.622,  3,  0, 326.85
1972-09-03, 04:13, 26545.18, 1972.673,  3,  0, 326.51
1972-09-15, 13:36, 26557.57, 1972.706,  3,  0, 326.47
1972-10-02, 21:35, 26574.90, 1972.754,  3,  0, 326.74
1972-10-19, 04:16, 26591.18, 1972.798,  3,  5, 325.28
1972-11-11, 16:29, 26614.69, 1972.863,  6,  0, 326.87
1972-11-20, 15:41, 26623.65, 1972.887,  2,  0, 327.17
1972-12-04, 14:51, 26637.62, 1972.925,  3,  0, 326.88
1972-12-20, 16:43, 26653.70, 1972.969,  2,  0, 326.75
1973-01-04, 16:27, 26668.69, 1973.010,  3,  0, 326.80
1973-01-17, 15:28, 26681.64, 1973.046,  2,  0, 326.71
1973-02-01, 12:00, 26696.50, 1973.086,  2,  5, 325.99
1973-02-15, 12:00, 26710.50, 1973.125,  3,  0, 326.34
1973-03-01, 15:36, 26724.65, 1973.163,  2,  0, 326.34
1973-03-15, 15:21, 26738.64, 1973.202,  3,  0, 326.34
1973-04-01, 15:09, 26755.63, 1973.248,  3,  0, 326.61
1973-04-15, 16:25, 26769.68, 1973.287,  3,  0, 326.92
1973-05-01, 15:59, 26785.67, 1973.331,  3,  0, 327.01
1973-05-15, 15:08, 26799.63, 1973.369,  3,  0, 327.08
1973-06-02, 16:31, 26817.69, 1973.418,  2,  0, 327.29
1973-06-15, 16:19, 26830.68, 1973.454,  3,  0, 327.42
1973-07-01, 18:01, 26846.75, 1973.498,  3,  0, 327.54
1973-07-15, 17:56, 26860.75, 1973.536,  3,  0, 327.72
1973-08-03, 15:21, 26879.64, 1973.588,  3,  0, 328.40
1973-08-16, 14:56, 26892.62, 1973.624,  3,  0, 328.25
1973-09-01, 16:05, 26908.67, 1973.668,  3,  0, 328.61
1973-09-17, 17:20, 26924.72, 1973.712,  3,  0, 328.68
1973-10-01, 16:14, 26938.68, 1973.750,  3,  0, 328.63
1973-10-15, 16:00, 26952.67, 1973.788,  3,  0, 328.61
1973-11-01, 17:59, 26969.75, 1973.835,  3,  0, 328.63
1973-12-02, 11:38, 27000.48, 1973.919,  2,  0, 328.66
1974-01-01, 22:02, 27030.92, 1974.003,  3,  0, 328.45
1974-01-15, 14:25, 27044.60, 1974.040,  3,  0, 328.24
1974-02-09, 15:48, 27069.66, 1974.109,  4,  0, 328.12
1974-03-03, 18:30, 27091.77, 1974.169,  3,  0, 328.14
1974-03-23, 02:14, 27111.09, 1974.222,  2,  0, 328.04
1974-04-02, 16:11, 27121.67, 1974.251,  3,  0, 327.87
1974-04-15, 19:08, 27134.80, 1974.287,  3,  0, 328.02
1974-05-15, 16:19, 27164.68, 1974.369,  3,  0, 328.01
1974-06-03, 15:38, 27183.65, 1974.421,  3,  0, 327.88
1974-06-15, 14:54, 27195.62, 1974.454,  3,  0, 327.81
1974-07-01, 15:13, 27211.63, 1974.498,  3,  0, 328.33
1974-07-15, 16:08, 27225.67, 1974.536,  3,  0, 328.44
1974-08-02, 16:03, 27243.67, 1974.585,  3,  0, 328.52
1974-08-17, 16:43, 27258.70, 1974.627,  3,  0, 328.72
1974-09-02, 16:08, 27274.67, 1974.670,  3,  0, 328.91
1974-09-16, 15:55, 27288.66, 1974.709,  3,  0, 328.90
1974-10-02, 14:48, 27304.62, 1974.752,  3,  0, 329.01
1974-10-17, 13:10, 27319.55, 1974.793,  2,  0, 329.04
1974-11-04, 16:35, 27337.69, 1974.843,  3,  0, 329.27
1974-11-16, 15:47, 27349.66, 1974.876,  5,  0, 329.03
1974-12-02, 15:09, 27365.63, 1974.920,  3,  0, 329.05
1974-12-15, 15:57, 27378.66, 1974.955,  3,  0, 328.97
1975-01-06, 17:23, 27400.72, 1975.016,  3,  0, 328.88
1975-01-15, 10:20, 27409.43, 1975.040,  3,  0, 328.95
1975-02-01, 14:12, 27426.59, 1975.087,  3,  0, 328.97
1975-02-15, 15:43, 27440.65, 1975.125,  2,  0, 328.90
1975-03-01, 15:42, 27454.65, 1975.163,  3,  0, 328.86
1975-03-15, 17:03, 27468.71, 1975.202,  3,  0, 328.85
1975-04-05, 08:59, 27489.37, 1975.259,  3,  0, 328.91
1975-04-15, 13:47, 27499.57, 1975.287,  3,  0, 328.91
1975-05-01, 13:22, 27515.56, 1975.330,  3,  0, 328.96
1975-05-15, 16:05, 27529.67, 1975.369,  3,  0, 328.82
1975-06-01, 14:19, 27546.60, 1975.415,  3,  0, 328.94
1975-06-15, 15:57, 27560.66, 1975.454,  3,  0, 329.07
1975-07-01, 13:21, 27576.56, 1975.497,  3,  0, 329.21
1975-07-15, 13:22, 27590.56, 1975.536,  3,  0, 329.30
1975-08-01, 13:57, 27607.58, 1975.582,  2,  0, 329.62
1975-08-15, 14:40, 27621.61, 1975.621,  3,  0, 329.84
1975-09-01, 15:17, 27638.64, 1975.667,  3,  0, 330.07
1975-09-17, 15:52, 27654.66, 1975.711,  3,  0, 330.28
1975-10-01, 15:39, 27668.65, 1975.750,  3,  0, 330.38
1975-10-16, 14:10, 27683.59, 1975.791,  3,  0, 330.70
1975-11-01, 15:51, 27699.66, 1975.835,  2,  0, 330.49
1975-11-28, 10:07, 27726.42, 1975.908,  3,  0, 330.41
1975-12-01, 14:08, 27729.59, 1975.917,  3,  0, 330.25
1975-12-15, 20:51, 27743.87, 1975.956,  3,  0, 330.35
1976-01-01, 18:15, 27760.76, 1976.002,  2,  0, 330.38
1976-01-16, 09:29, 27775.40, 1976.042,  3,  4, 332.83
1976-02-02, 13:21, 27792.56, 1976.089,  2,  0, 330.11
1976-02-03, 13:09, 27793.55, 1976.092,  6,  0, 330.11
1976-02-05, 13:09, 27795.55, 1976.097,  3,  0, 330.14
1976-02-06, 01:52, 27796.08, 1976.099,  2,  0, 329.86
1976-02-15, 19:08, 27805.80, 1976.125,  3,  0, 330.01
1976-03-01, 16:27, 27820.69, 1976.166,  3,  0, 329.93
1976-03-16, 13:05, 27835.55, 1976.206,  3,  4, 329.02
1976-04-02, 09:58, 27852.42, 1976.253,  2,  0, 329.47
1976-04-15, 15:46, 27865.66, 1976.289,  3,  0, 329.70
1976-05-01, 10:08, 27881.42, 1976.332,  3,  0, 329.88
1976-05-15, 18:19, 27895.76, 1976.371,  2,  0, 329.88
1976-06-01, 13:28, 27912.56, 1976.417,  2,  0, 329.97
1976-06-15, 13:31, 27926.56, 1976.455,  2,  0, 329.87
1976-07-01, 09:18, 27942.39, 1976.498,  3,  0, 330.34
1976-07-15, 19:33, 27956.81, 1976.538,  3,  0, 330.39
1976-08-01, 09:25, 27973.39, 1976.583,  3,  0, 330.90
1976-08-15, 16:05, 27987.67, 1976.622,  3,  0, 330.93
1976-09-02, 09:30, 28005.40, 1976.670,  3,  0, 331.32
1976-09-16, 13:22, 28019.56, 1976.709,  3,  0, 331.36
1976-10-01, 14:35, 28034.61, 1976.750,  3,  0, 331.63
1976-10-16, 14:35, 28049.61, 1976.791,  3,  0, 331.75
1976-11-01, 15:39, 28065.65, 1976.835,  3,  0, 331.66
1976-11-18, 09:29, 28082.40, 1976.881,  2,  0, 331.87
1976-12-01, 13:50, 28095.58, 1976.917,  3,  0, 331.53
1976-12-15, 13:34, 28109.57, 1976.955,  3,  0, 331.37
1977-01-01, 13:53, 28126.58, 1977.002,  3,  0, 331.20
1977-01-16, 10:30, 28141.44, 1977.042,  6,  0, 331.32
1977-02-04, 16:10, 28160.67, 1977.095,  3,  0, 330.99
1977-02-05, 13:56, 28161.58, 1977.097,  3,  0, 330.99
1977-02-06, 16:00, 28162.67, 1977.100,  3,  0, 330.97
1977-02-07, 11:00, 28163.46, 1977.103,  3,  0, 331.02
1977-02-15, 15:02, 28171.63, 1977.125,  3,  0, 331.16
1977-03-01, 14:58, 28185.62, 1977.163,  2,  0, 330.80
1977-03-15, 14:51, 28199.62, 1977.202,  3,  0, 330.88
1977-04-01, 13:44, 28216.57, 1977.248,  3,  0, 331.25
1977-04-15, 16:02, 28230.67, 1977.287,  3,  0, 331.31
1977-05-02, 14:59, 28247.62, 1977.333,  3,  0, 331.25
1977-05-17, 14:30, 28262.60, 1977.374,  3,  0, 331.47
1977-06-01, 14:53, 28277.62, 1977.415,  2,  0, 331.45
1977-06-15, 15:18, 28291.64, 1977.454,  3,  0, 331.64
1977-07-01, 14:14, 28307.59, 1977.498,  3,  0, 331.85
1977-07-15, 14:11, 28321.59, 1977.536,  3,  0, 332.05
1977-08-01, 15:11, 28338.63, 1977.583,  3,  0, 332.28
1977-08-15, 15:05, 28352.63, 1977.621,  3,  0, 332.41
1977-09-01, 17:24, 28369.72, 1977.668,  3,  0, 332.64
1977-09-15, 19:59, 28383.83, 1977.706,  3,  0, 332.96
1977-10-03, 11:11, 28401.47, 1977.755,  3,  0, 333.00
1977-10-14, 14:35, 28412.61, 1977.785,  3,  0, 333.13
1977-11-01, 15:06, 28430.63, 1977.835,  3,  0, 333.37
1977-11-15, 19:18, 28444.80, 1977.873,  3,  0, 333.25
1977-12-02, 14:47, 28461.62, 1977.919,  2,  0, 333.27
1977-12-18, 22:16, 28477.93, 1977.964,  3,  0, 333.13
1978-01-03, 21:43, 28493.90, 1978.008,  3,  0, 332.74
1978-01-16, 09:18, 28506.39, 1978.042,  3,  0, 332.97
1978-02-01, 21:35, 28522.90, 1978.087,  2,  0, 332.58
1978-02-16, 12:37, 28537.53, 1978.127,  3,  0, 332.83
1978-03-03, 13:51, 28552.58, 1978.169,  3,  0, 332.72
1978-03-19, 12:56, 28568.54, 1978.212,  2,  0, 332.98
1978-04-03, 14:29, 28583.60, 1978.254,  3,  0, 332.97
1978-04-19, 13:30, 28599.56, 1978.297,  3,  0, 332.93
1978-05-01, 14:15, 28611.59, 1978.330,  3,  4, 343.61
1978-05-15, 14:31, 28625.60, 1978.369,  6,  4, 339.76
1978-06-01, 12:43, 28642.53, 1978.415,  2,  0, 333.20
1978-06-17, 17:57, 28658.75, 1978.460,  3,  0, 333.42
1978-07-01, 12:40, 28672.53, 1978.497,  2,  0, 333.66
1978-07-16, 13:50, 28687.58, 1978.539,  3,  0, 333.81
1978-08-01, 12:51, 28703.54, 1978.582,  3,  0, 334.14
1978-08-15, 12:49, 28717.53, 1978.621,  3,  0, 334.23
1978-09-01, 12:52, 28734.54, 1978.667,  3,  0, 334.69
1978-09-16, 15:29, 28749.65, 1978.709,  3,  0, 334.69
1978-10-01, 17:44, 28764.74, 1978.750,  2,  0, 334.88
1978-10-15, 13:46, 28778.57, 1978.788,  3,  0, 334.77
1978-11-03, 16:09, 28797.67, 1978.840,  3,  0, 334.62
1978-11-15, 16:47, 28809.70, 1978.873,  3,  0, 334.57
1978-12-01, 12:48, 28825.53, 1978.917,  3,  0, 334.44
1978-12-16, 15:11, 28840.63, 1978.958,  2,  0, 334.19
1979-01-01, 12:52, 28856.54, 1979.001,  3,  0, 334.20
1979-01-15, 14:21, 28870.60, 1979.040,  3,  0, 333.92
1979-02-01, 14:06, 28887.59, 1979.087,  3,  0, 334.13
1979-02-15, 16:00, 28901.67, 1979.125,  3,  0, 334.01
1979-03-01, 16:35, 28915.69, 1979.164,  3,  0, 333.68
1979-03-15, 13:38, 28929.57, 1979.202,  3,  0, 333.95
1979-04-02, 16:30, 28947.69, 1979.251,  3,  0, 334.09
1979-04-16, 12:25, 28961.52, 1979.289,  3,  0, 334.18
1979-05-02, 14:21, 28977.60, 1979.333,  2,  0, 334.14
1979-05-15, 12:47, 28990.53, 1979.369,  3,  0, 334.40
1979-06-02, 13:58, 29008.58, 1979.418,  3,  0, 334.47
1979-06-15, 12:31, 29021.52, 1979.453,  2,  0, 334.43
1979-07-01, 11:43, 29037.49, 1979.497,  3,  0, 334.92
1979-07-15, 11:56, 29051.50, 1979.536,  2,  0, 335.17
1979-08-01, 13:21, 29068.56, 1979.582,  3,  0, 335.47
1979-08-15, 12:56, 29082.54, 1979.621,  3,  0, 335.75
1979-09-01, 19:48, 29099.83, 1979.668,  3,  0, 335.73
1979-09-15, 13:28, 29113.56, 1979.706,  3,  0, 335.88
1979-10-01, 14:58, 29129.62, 1979.750,  2,  0, 336.02
1979-10-15, 14:55, 29143.62, 1979.788,  2,  0, 335.92
1979-11-03, 15:21, 29162.64, 1979.840,  3,  0, 336.31
1979-11-15, 11:16, 29174.47, 1979.873,  2,  0, 336.45
1979-12-01, 13:10, 29190.55, 1979.917,  3,  0, 336.08
1979-12-15, 10:10, 29204.42, 1979.955,  3,  0, 336.02
1980-01-01, 15:35, 29221.65, 1980.002,  3,  0, 336.16
1980-01-15, 11:22, 29235.47, 1980.040,  3,  0, 336.00
1980-02-01, 11:09, 29252.46, 1980.086,  5,  0, 335.79
1980-02-15, 11:34, 29266.48, 1980.124,  2,  4, 356.99
1980-03-01, 11:18, 29281.47, 1980.165,  2,  4, 336.03
1980-03-15, 10:07, 29295.42, 1980.203,  1,  4, 336.04
1980-04-01, 11:18, 29312.47, 1980.250,  2,  4, 347.12
1980-04-15, 18:46, 29326.78, 1980.289,  3,  0, 336.10
1980-05-01, 11:27, 29342.48, 1980.332,  2,  0, 336.09
1980-05-15, 19:00, 29356.79, 1980.371,  3,  4, 351.07
1980-06-01, 11:20, 29373.47, 1980.417,  2,  4, 352.59
1980-06-15, 11:24, 29387.47, 1980.455,  3,  0, 336.90
1980-07-01, 11:24, 29403.47, 1980.499,  3,  0, 337.27
1980-07-15, 11:15, 29417.47, 1980.537,  3,  0, 337.42
1980-08-01, 11:20, 29434.47, 1980.583,  3,  0, 337.29
1980-08-15, 11:20, 29448.47, 1980.622,  2,  0, 337.61
1980-09-01, 11:17, 29465.47, 1980.668,  2,  0, 337.73
1980-09-15, 11:15, 29479.47, 1980.706,  3,  0, 337.88
1980-10-01, 11:13, 29495.47, 1980.750,  2,  0, 337.74
1980-10-15, 11:15, 29509.47, 1980.788,  3,  0, 337.98
1980-11-07, 11:23, 29532.47, 1980.851,  2,  0, 338.02
1980-11-16, 15:06, 29541.63, 1980.876,  2,  0, 337.93
1980-12-03, 15:05, 29558.63, 1980.922,  3,  0, 337.98
1980-12-15, 15:09, 29570.63, 1980.955,  3,  0, 338.15
1981-01-01, 14:55, 29587.62, 1981.002,  3,  0, 337.86
1981-01-15, 14:51, 29601.62, 1981.040,  5,  0, 337.75
1981-02-01, 14:47, 29618.62, 1981.087,  3,  0, 337.56
1981-02-15, 13:52, 29632.58, 1981.125,  3,  4, 351.21
1981-03-01, 14:56, 29646.62, 1981.163,  3,  0, 337.31
1981-03-15, 14:59, 29660.62, 1981.202,  2,  0, 337.60
1981-04-01, 19:10, 29677.80, 1981.249,  3,  0, 337.43
1981-04-15, 15:43, 29691.65, 1981.287,  3,  0, 337.55
1981-05-03, 14:47, 29709.62, 1981.336,  2,  0, 337.54
1981-05-15, 13:15, 29721.55, 1981.369,  3,  0, 337.71
1981-06-01, 13:52, 29738.58, 1981.415,  2,  0, 338.12
1981-06-16, 14:47, 29753.62, 1981.456,  3,  0, 338.11
