Continent_Name,Country_Name,country
Europe,Åland Islands,Åland Islands
Europe,France,France
South America,French Guiana,French Guiana
Oceania,French Polynesia,French Polynesia
Antarctica,French Southern Territories,French Southern Territories
Africa,Djibouti,Djibouti
Africa,Gabon,Gabon
Europe,Georgia,Georgia
Asia,Georgia,Georgia
Africa,Gambia,Gambia
Asia,Palestinian Territory,Palestinian Territory
Europe,Germany,Germany
Africa,Ghana,Ghana
Europe,Gibraltar,Gibraltar
Oceania,Kiribati,Kiribati
Europe,Greece,Greece
North America,Greenland,Greenland
North America,Grenada,Grenada
North America,Guadeloupe,Guadeloupe
Oceania,Guam,Guam
North America,Guatemala,Guatemala
Africa,Guinea,Guinea
South America,Guyana,Guyana
North America,Haiti,Haiti
Antarctica,Heard Island and McDonald Islands,Heard Island and McDonald Islands
Europe,Holy See (Vatican City State),Holy See (Vatican City State)
North America,Honduras,Honduras
Asia,Hong Kong,Hong Kong
Europe,Hungary,Hungary
Europe,Iceland,Iceland
Asia,India,India
Asia,Indonesia,Indonesia
Asia,Iran,Iran
Asia,Iraq,Iraq
Europe,Ireland,Ireland
Asia,Israel,Israel
Europe,Italy,Italy
Africa,Cote d'Ivoire,Cote d'Ivoire
North America,Jamaica,Jamaica
Asia,Japan,Japan
Europe,Kazakhstan,Kazakhstan
Asia,Kazakhstan,Kazakhstan
Asia,Jordan,Jordan
Africa,Kenya,Kenya
Asia,Korea,Korea
Asia,Korea,Korea
Asia,Kuwait,Kuwait
Asia,Kyrgyz Republic,Kyrgyz Republic
Asia,Lao People's Democratic Republic,Lao People's Democratic Republic
Asia,Lebanon,Lebanon
Africa,Lesotho,Lesotho
Europe,Latvia,Latvia
Africa,Liberia,Liberia
Africa,Libyan Arab Jamahiriya,Libyan Arab Jamahiriya
Europe,Liechtenstein,Liechtenstein
Europe,Lithuania,Lithuania
Europe,Luxembourg,Luxembourg
Asia,Macao,Macao
Africa,Madagascar,Madagascar
Africa,Malawi,Malawi
Asia,Malaysia,Malaysia
Asia,Maldives,Maldives
Africa,Mali,Mali
Europe,Malta,Malta
North America,Martinique,Martinique
Africa,Mauritania,Mauritania
Africa,Mauritius,Mauritius
North America,Mexico,Mexico
Europe,Monaco,Monaco
Asia,Mongolia,Mongolia
Europe,Moldova,Moldova
Europe,Montenegro,Montenegro
North America,Montserrat,Montserrat
Africa,Morocco,Morocco
Africa,Mozambique,Mozambique
Asia,Oman,Oman
Africa,Namibia,Namibia
Oceania,Nauru,Nauru
Asia,Nepal,Nepal
Europe,Netherlands,Netherlands
North America,Netherlands Antilles,Netherlands Antilles
North America,Curaçao,Curaçao
North America,Aruba,Aruba
North America,Sint Maarten (Netherlands),Sint Maarten (Netherlands)
North America,Bonaire,Bonaire
Oceania,New Caledonia,New Caledonia
Oceania,Vanuatu,Vanuatu
Oceania,New Zealand,New Zealand
North America,Nicaragua,Nicaragua
Africa,Niger,Niger
Africa,Nigeria,Nigeria
Oceania,Niue,Niue
Oceania,Norfolk Island,Norfolk Island
Europe,Norway,Norway
Oceania,Northern Mariana Islands,Northern Mariana Islands
Oceania,United States Minor Outlying Islands,United States Minor Outlying Islands
North America,United States Minor Outlying Islands,United States Minor Outlying Islands
Oceania,Micronesia,Micronesia
Oceania,Marshall Islands,Marshall Islands
Oceania,Palau,Palau
Asia,Pakistan,Pakistan
North America,Panama,Panama
Oceania,Papua New Guinea,Papua New Guinea
South America,Paraguay,Paraguay
South America,Peru,Peru
Asia,Philippines,Philippines
Oceania,Pitcairn Islands,Pitcairn Islands
Europe,Poland,Poland
Europe,Portugal,Portugal
Africa,Guinea-Bissau,Guinea-Bissau
Asia,Timor-Leste,Timor-Leste
North America,Puerto Rico,Puerto Rico
Asia,Qatar,Qatar
Africa,Reunion,Reunion
Europe,Romania,Romania
Europe,Russian Federation,Russia
Asia,Russian Federation,Russia
Africa,Rwanda,Rwanda
North America,Saint Barthelemy,Saint Barthelemy
Africa,Saint Helena,Saint Helena
North America,Saint Kitts and Nevis,Saint Kitts and Nevis
North America,Anguilla,Anguilla
North America,Saint Lucia,Saint Lucia
North America,Saint Martin,Saint Martin
North America,Saint Pierre and Miquelon,Saint Pierre and Miquelon
North America,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
Europe,San Marino,San Marino
Africa,Sao Tome and Principe,Sao Tome and Principe
Asia,Saudi Arabia,Saudi Arabia
Africa,Senegal,Senegal
Europe,Serbia,Serbia
Africa,Seychelles,Seychelles
Africa,Sierra Leone,Sierra Leone
Asia,Singapore,Singapore
Europe,Slovakia (Slovak Republic),Slovakia (Slovak Republic)
Asia,Vietnam,Vietnam
Europe,Slovenia,Slovenia
Africa,Somalia,Somalia
Africa,South Africa,South Africa
Africa,Zimbabwe,Zimbabwe
Europe,Spain,Spain
Africa,South Sudan,South Sudan
Africa,Western Sahara,Western Sahara
Africa,Sudan,Sudan
South America,Suriname,Suriname
Europe,Svalbard & Jan Mayen Islands,Svalbard & Jan Mayen Islands
Africa,Swaziland,Swaziland
Europe,Sweden,Sweden
Europe,Switzerland,Switzerland
Asia,Syrian Arab Republic,Syrian Arab Republic
Asia,Tajikistan,Tajikistan
Asia,Thailand,Thailand
Africa,Togo,Togo
Oceania,Tokelau,Tokelau
Oceania,Tonga,Tonga
North America,Trinidad and Tobago,Trinidad and Tobago
Asia,United Arab Emirates,United Arab Emirates
Africa,Tunisia,Tunisia
Europe,Turkey,Turkey
Asia,Turkey,Turkey
Asia,Turkmenistan,Turkmenistan
North America,Turks and Caicos Islands,Turks and Caicos Islands
Oceania,Tuvalu,Tuvalu
Africa,Uganda,Uganda
Europe,Ukraine,Ukraine
Europe,Macedonia,Macedonia
Africa,Egypt,Egypt
Europe,United Kingdom of Great Britain & Northern Ireland,United Kingdom of Great Britain & Northern Ireland
Europe,Guernsey,Guernsey
Europe,Jersey,Jersey
Europe,Isle of Man,Isle of Man
Africa,Tanzania,Tanzania
North America,United States of America,USA
North America,United States Virgin Islands,United States Virgin Islands
Africa,Burkina Faso,Burkina Faso
South America,Uruguay,Uruguay
Asia,Uzbekistan,Uzbekistan
South America,Venezuela,Venezuela
Oceania,Wallis and Futuna,Wallis and Futuna
Oceania,Samoa,Samoa
Asia,Yemen,Yemen
Africa,Zambia,Zambia
Oceania,Disputed Territory,Disputed Territory
Asia,Iraq-Saudi Arabia Neutral Zone,Iraq-Saudi Arabia Neutral Zone
Asia,United Nations Neutral Zone,United Nations Neutral Zone
Asia,Spratly Islands,Spratly Islands
